Company Name,Title,Description,Location,Started On,Finished On
Unilever,Assistant Manager,Started Working as an Assistant Manager 👨‍💻 - Data &  Quality under Data 💽 & Analytics 📊 division 🏤,"Bengaluru, Karnataka, India",Oct 2022,
EXL,Business Consultant II,"•	Working as a Consultant for  Western Union as a client in helping in their business requirements delivery through data acquisition, analysis by writing complex SQL Queries and driving insights through statistical analysis, KPI reporting and driving business to a higher level by working on various machine learning algorithms. •	Developed a complete POWER BI Dashboard for the AUSTRALIA region for the client PROFITABILITY analysis and connected to SNOWFLAKE cloud for data warehousing process to visualize the data  •	Developed a range of 40+ REPORTS in POWER BI •	Worked on script optimization using stored procedures in SNOWFLAKE and R-scripts. •	Created scripts in PYTHON to automate the scheduling jobs and use the ODBC connector to update the data in real-time.","Bangalore Urban, Karnataka, India",Jul 2021,Oct 2022
iNeuron.ai,K12 Content Developer,Worked as  a K12 Content Developer for Maths & Science for various Grades across boards to revamp the education sector with 7+ years of teaching experience...,"Bengaluru, Karnataka, India",Jan 2021,Jul 2021
Alphaa AI,Fellowship,Staring learning creating a story through Excel Dashboard...,"Bengaluru, Karnataka, India",Jan 2021,Feb 2021
RapidPricer B.V.,Data Scientist Trainee,Worked for a month as a data science trainee whereby I have designed dashboard in Excel & Tableau end to end and got a good exposure to the industry. Had an opportunity to interact with clients and understand their business requirements and accordingly worked upon it.,Netherlands,Aug 2020,Sep 2020
Oakridge International School,MYP Mathematics Facilitator,Worked as a Middle Year Program - MYP Mathematics Facilitator and worked for all round development of students in the field of mathematics.. Worked as a Class Teacher for grade 8th students too thereby handling the complete overall development of students at every stage.,"Bengaluru, Karnataka, India",Jun 2019,Nov 2019
Lakshmi Vilas Bank,Assistant Manager,Worked as a Assistant Manager and handled all the CORE BANKING OPERATIONS…,"Bengaluru, Karnataka, India",Aug 2017,Jan 2018
Manhattan Associates,Associate Software Engineer,"Worked as a Associate Software engineer as a backend Java Developer for Supply Chain Warehouse Management for various clients such as EBAY,ADIDAS,DILTEX,DSGI,etc thereby customising their warehouse solutions and bringing a change in revenue…","Bengaluru, Karnataka, India",May 2015,Mar 2017
Infosys,System Engineer,"Worked As a System Engineer Trainee in SAP ABAP Domain. Had hands-on experience with various technologies such as Software Engineering, Java, basic SQL and implemented one end to end project using SAP ABAP tools & techniques.",,Nov 2014,Apr 2015
Enelek Power,Summer Intern,"Had Learnt a quite about SOLAR Technology,its various applications and how it adds an substitute for other renewable resources.. Learnt about PLC(Programmable Logic Controller),its various applications in major macro industries. Learnt about WIRELESS technology and its applications in present day to day world.",IIT MUMBAI,Jun 2013,Jul 2013
